"","diff.fit","low","high","study","treat","bilat_0","age","se"
"2",-0.249382856427934,-0.5415870695453,-0.00810846230727141,"Damoiseaux","Antibiotics","Bilateral",0.01,-0.5415870695453
"4",-0.0511227348346976,-0.34500171008004,0.230769009838802,"Damoiseaux","Antibiotics","Unilateral",0.03,-0.34500171008004
"6",-0.249047032956275,-0.533910219728302,-0.0129057252305955,"Damoiseaux","Antibiotics","Bilateral",0.05,-0.533910219728302
"8",-0.0514611954292791,-0.33852479952457,0.22407334037834,"Damoiseaux","Antibiotics","Unilateral",0.07,-0.33852479952457
"10",-0.248690047012355,-0.526195041644826,-0.017716370817465,"Damoiseaux","Antibiotics","Bilateral",0.09,-0.526195041644826
"12",-0.051796039635404,-0.332014706272541,0.21735169303219,"Damoiseaux","Antibiotics","Unilateral",0.11,-0.332014706272541
"14",-0.248311931813768,-0.518449337440729,-0.0225376838228803,"Damoiseaux","Antibiotics","Bilateral",0.13,-0.518449337440729
"16",-0.0521271909105346,-0.325478381322134,0.210609890917789,"Damoiseaux","Antibiotics","Unilateral",0.15,-0.325478381322134
"18",-0.247912727472321,-0.510681523011508,-0.0273663608930132,"Damoiseaux","Antibiotics","Bilateral",0.17,-0.510681523011508
"20",-0.0524545737725818,-0.318923456724356,0.203854415457487,"Damoiseaux","Antibiotics","Unilateral",0.19,-0.318923456724356
"22",-0.247492481007549,-0.502900678953594,-0.0321984379080413,"Damoiseaux","Antibiotics","Bilateral",0.21,-0.502900678953594
"24",-0.0527781138381748,-0.312358298546636,0.197092465078009,"Damoiseaux","Antibiotics","Unilateral",0.23,-0.312358298546636
"26",-0.247051246355719,-0.495116609156023,-0.0370292089885813,"Damoiseaux","Antibiotics","Bilateral",0.25,-0.495116609156023
"28",-0.0530977378602439,-0.305792065830002,0.190332020211958,"Damoiseaux","Antibiotics","Unilateral",0.27,-0.305792065830002
"30",-0.246589084374287,-0.487339908130697,-0.0418531362000196,"Damoiseaux","Antibiotics","Bilateral",0.29,-0.487339908130697
"32",-0.0534133737648806,-0.299234776224104,0.183581915249129,"Damoiseaux","Antibiotics","Unilateral",0.31,-0.299234776224104
"34",-0.246106062841759,-0.479582038224796,-0.0466637489545664,"Damoiseaux","Antibiotics","Bilateral",0.33,-0.479582038224796
"36",-0.0537249506874465,-0.292697378945102,0.176851918041714,"Damoiseaux","Antibiotics","Unilateral",0.35,-0.292697378945102
"38",-0.245602256452912,-0.471855417850004,-0.0514535321296288,"Damoiseaux","Antibiotics","Bilateral",0.37,-0.471855417850004
"40",-0.0540323990078949,-0.286191835594431,0.17015281745644,"Damoiseaux","Antibiotics","Unilateral",0.39,-0.286191835594431
"42",-0.245077746809366,-0.464173521765519,-0.0562138020274384,"Damoiseaux","Antibiotics","Bilateral",0.41,-0.464173521765519
"44",-0.0543356503852739,-0.279731209169201,0.163496519255588,"Damoiseaux","Antibiotics","Unilateral",0.43,-0.279731209169201
"46",-0.244532622405455,-0.456550994215684,-0.0609345695442236,"Damoiseaux","Antibiotics","Bilateral",0.45,-0.456550994215684
"48",-0.0546346377913829,-0.273329761243301,0.156896150234017,"Damoiseaux","Antibiotics","Unilateral",0.47,-0.273329761243301
"50",-0.243966978609392,-0.449003775278627,-0.0656043903673298,"Damoiseaux","Antibiotics","Bilateral",0.49,-0.449003775278627
